,주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,데이터기준일자
0,228-1-000062,행정타운 주변,공영,노상,경기도 용인시 처인구 중부대로 1199,경기도 용인시 처인구 삼가동 556,123,1,미시행,평일+토요일+공휴일,23:59,23:59,23:59,23:59,23:59,23:59,무료,0,0,0,0,0,0,0.0,,,용인시 회계과,031-324-3104,37.240867332,127.1779683677,2021-10-26
1,228-1-000063,국도 42호선 주변,공영,노상,,경기도 용인시 처인구 김량장동 380,129,1,미시행,평일+토요일+공휴일,23:59,23:59,23:59,23:59,23:59,23:59,무료,0,0,0,0,0,0,0.0,,,용인시 처인구청,031-324-5392,37.2339586516,127.1971687053,2021-10-26
2,228-1-000065,금호어울림 주변,공영,노상,,경기도 용인시 처인구 김량장동 381,109,1,미시행,평일+토요일+공휴일,23:59,23:59,23:59,23:59,23:59,23:59,무료,0,0,0,0,0,0,0.0,,,용인시 처인구청,031-324-5392,37.2359752562,127.1949761655,2021-10-26
3,228-1-000067,문예회관 주변,공영,노상,경기도 용인시 처인구 중부대로1440번길 5,경기도 용인시 처인구 김량장동 384,163,1,미시행,평일+토요일+공휴일,23:59,23:59,23:59,23:59,23:59,23:59,무료,0,0,0,0,0,0,0.0,,,용인시 처인구청,031-324-5392,37.2322958985,127.2043544881,2021-10-26
4,228-1-000069,양지천 노상주차장,공영,노상,,경기도 용인시 처인구 마평동 950,62,1,미시행,평일+토요일+공휴일,23:59,23:59,23:59,23:59,23:59,23:59,무료,0,0,0,0,0,0,0.0,,,용인시 처인구청,031-324-5392,37.2351187384,127.2189631515,2021-10-26
5,228-1-000070,오성웨딩홀 주변,공영,노상,,경기도 용인시 처인구 김량장동 382,68,1,미시행,평일+토요일+공휴일,23:59,23:59,23:59,23:59,23:59,23:59,무료,0,0,0,0,0,0,0.0,,,용인시 처인구청,031-324-5392,37.2359510224,127.2023350043,2021-10-26
6,228-1-000071,용인고등학교 주변,공영,노상,,경기도 용인시 처인구 역북동 484,68,1,미시행,평일+토요일+공휴일,23:59,23:59,23:59,23:59,23:59,23:59,무료,0,0,0,0,0,0,0.0,,,용인시 처인구청,031-324-5392,37.2386863711,127.1911339205,2021-10-26
7,228-1-000073,처인구청 주변,공영,노상,,경기도 용인시 처인구 김량장동 383,102,1,미시행,평일+토요일+공휴일,23:59,23:59,23:59,23:59,23:59,23:59,무료,0,0,0,0,0,0,0.0,,,용인시 처인구청,031-324-5392,37.2339028499,127.2022195535,2021-10-26
8,228-1-000074,외대 진입로,공영,노상,,경기도 용인시 처인구 모현읍 왕산리 945-2,82,1,미시행,평일+토요일+공휴일,23:59,23:59,23:59,23:59,23:59,23:59,무료,0,0,0,0,0,0,0.0,,,용인시 처인구청,031-324-5392,37.3367438889,127.2517873261,2021-10-26
9,228-1-000075,처인성로 주변,공영,노상,,경기도 용인시 처인구 남사면 봉무리 652-1,57,1,미시행,평일+토요일+공휴일,23:59,23:59,23:59,23:59,23:59,23:59,무료,0,0,0,0,0,0,0.0,,,용인시 처인구청,031-324-5392,37.11373368,127.1512434,2021-10-26
10,228-1-000076,고당로 주변,공영,노상,,경기도 용인시 처인구 원삼면 고당리 308-3,92,1,미시행,평일+토요일+공휴일,23:59,23:59,23:59,23:59,23:59,23:59,무료,0,0,0,0,0,0,0.0,,,용인시 처인구청,031-324-5392,37.1645303802,127.3065957791,2021-10-26
11,228-1-000078,전대리,공영,노상,,경기도 용인시 처인구 포곡읍 전대리 546-53,84,1,미시행,평일+토요일+공휴일,23:59,23:59,23:59,23:59,23:59,23:59,무료,0,0,0,0,0,0,0.0,,,용인시 처인구청,031-324-5392,37.2883661927,127.2154359579,2021-10-26
12,228-1-000080,용인시청 주변,공영,노상,,경기도 용인시 처인구 삼가동 559,120,1,미시행,평일+토요일+공휴일,23:59,23:59,23:59,23:59,23:59,23:59,무료,0,0,0,0,0,0,0.0,,,용인시 처인구청,031-324-5392,37.2410774339,127.1754684979,2021-10-26
13,228-1-000083,구갈1리 소공원 주변,공영,노상,경기도 용인시 기흥구 신구로 39,경기도 용인시 기흥구 신갈동 47-2,94,1,미시행,평일+토요일+공휴일,23:59,23:59,23:59,23:59,23:59,23:59,무료,0,0,0,0,0,0,0.0,,,용인시 기흥구청,031-324-6351,37.2757089331,127.1093394975,2021-10-26
14,228-1-000085,구갈공원 주변,공영,노상,경기도 용인시 기흥구 관곡로85번길 3-6,경기도 용인시 기흥구 구갈동 359-10,106,1,미시행,평일+토요일+공휴일,23:59,23:59,23:59,23:59,23:59,23:59,무료,0,0,0,0,0,0,0.0,,,용인시 기흥구청,031-324-6351,37.2814208772,127.1143158147,2021-10-26
15,228-1-000088,구갈119안전센터 주변,공영,노상,경기도 용인시 기흥구 신구로64번길 5,경기도 용인시 기흥구 구갈동 398-3,57,1,미시행,평일+토요일+공휴일,23:59,23:59,23:59,23:59,23:59,23:59,무료,0,0,0,0,0,0,0.0,,,용인시 기흥구청,031-324-6351,37.2778471124,127.1101043722,2021-10-26
16,228-1-000089,기흥중학교 주변,공영,노상,,경기도 용인시 기흥구 신갈동 82,120,1,미시행,평일+토요일+공휴일,23:59,23:59,23:59,23:59,23:59,23:59,무료,0,0,0,0,0,0,0.0,,,용인시 기흥구청,031-324-6351,37.2789736497,127.106669629,2021-10-26
17,228-1-000092,신갈초등학교 주변,공영,노상,경기도 용인시 기흥구 신갈로84번길 15-1,경기도 용인시 기흥구 신갈동 40-30,125,1,미시행,평일+토요일+공휴일,23:59,23:59,23:59,23:59,23:59,23:59,무료,0,0,0,0,0,0,0.0,,,용인시 기흥구청,031-324-6351,37.2741569772,127.1072761672,2021-10-26
18,228-1-000093,한신아파트 주변,공영,노상,경기도 용인시 기흥구 신갈로 102,경기도 용인시 기흥구 신갈동 17-15,132,1,미시행,평일+토요일+공휴일,23:59,23:59,23:59,23:59,23:59,23:59,무료,0,0,0,0,0,0,0.0,,,용인시 기흥구청,031-324-6351,37.2760520481,127.1067740581,2021-10-26
19,228-2-000055,유방공영,공영,노외,,경기도 용인시 처인구 유방동 287,88,1,미시행,평일+토요일+공휴일,23:59,23:59,23:59,23:59,23:59,23:59,무료,0,0,0,0,0,0,0.0,,,용인시 처인구청,031-324-5392,37.2597745916,127.2166797263,2021-10-26
20,228-2-000060,탄천둔치,공영,노외,,경기도 용인시 기흥구 마북동 583-15,130,1,미시행,평일+토요일+공휴일,23:59,23:59,23:59,23:59,23:59,23:59,무료,0,0,0,0,0,0,0.0,,,용인시 기흥구청,031-324-6351,37.2941009575,127.1120694439,2021-10-26
21,228-3-000026,용인종합운동장,공영,부설,경기도 용인시 처인구 경안천로 76,경기도 용인시 처인구 마평동 703,440,1,미시행,평일+토요일+공휴일,23:59,23:59,23:59,23:59,23:59,23:59,무료,0,0,0,0,0,0,0.0,,,용인시 체육진흥과,031-324-2253,37.238546198,127.2124829987,2021-10-26
22,228-3-000027,수지체육공원,공영,부설,,경기도 용인시 수지구 풍덕천동 35,90,1,미시행,평일+토요일+공휴일,23:59,23:59,23:59,23:59,23:59,23:59,무료,0,0,0,0,0,0,0.0,,,용인시 공원녹지과,031-324-4452,37.3279001004,127.0971093546,2021-10-26
23,228-3-000028,포곡읍,공영,부설,경기도 용인시 처인구 포곡읍 포곡로 258,경기도 용인시 처인구 포곡읍 삼계리 588-5,79,1,미시행,평일+토요일+공휴일,23:59,23:59,23:59,23:59,23:59,23:59,무료,0,0,0,0,0,0,0.0,,,용인시 포곡읍,031-324-5532,37.2778178062,127.2308230747,2021-10-26
24,228-3-000029,모현읍,공영,부설,경기도 용인시 처인구 모현읍 독점로 31-6,경기도 용인시 처인구 모현읍 갈담리 309,83,1,미시행,평일+토요일+공휴일,23:59,23:59,23:59,23:59,23:59,23:59,무료,0,0,0,0,0,0,0.0,,,용인시 모현읍,031-324-5591,37.3295330155,127.2423619013,2021-10-26
25,228-3-000030,남사면,공영,부설,경기도 용인시 처인구 남사면 내기로 22,경기도 용인시 처인구 남사면 봉무리 438-1,65,1,미시행,평일+토요일+공휴일,23:59,23:59,23:59,23:59,23:59,23:59,무료,0,0,0,0,0,0,0.0,,,용인시 남사면,031-324-5642,37.1156815681,127.1505036114,2021-10-26
26,228-3-000031,이동읍,공영,부설,경기도 용인시 처인구 이동읍 경기동로 673,경기도 용인시 처인구 이동읍 송전리 750-3,50,1,미시행,평일+토요일+공휴일,23:59,23:59,23:59,23:59,23:59,23:59,무료,0,0,0,0,0,0,0.0,,지하: 평일(06:00~22:00) 운영,용인시 이동읍,031-324-5692,37.1411203846,127.1961972836,2021-10-26
27,228-3-000032,원삼면,공영,부설,경기도 용인시 처인구 원삼면 원양로 64,경기도 용인시 처인구 원삼면 고당리 88-1,102,1,미시행,평일+토요일+공휴일,23:59,23:59,23:59,23:59,23:59,23:59,무료,0,0,0,0,0,0,0.0,,,용인시 원삼면,031-324-5741,37.1665894305,127.3132645655,2021-10-26
28,228-3-000035,역삼동,공영,부설,경기도 용인시 처인구 명지로 16,경기도 용인시 처인구 역북동 744,50,1,미시행,평일+토요일+공휴일,23:59,23:59,23:59,23:59,23:59,23:59,무료,0,0,0,0,0,0,0.0,,,용인시 역삼동,031-324-5922,37.2345597796,127.1881482007,2021-10-26
29,228-3-000037,동부동,공영,부설,경기도 용인시 처인구 중부대로 1574,경기도 용인시 처인구 마평동 533-8,61,1,미시행,평일+토요일+공휴일,23:59,23:59,23:59,23:59,23:59,23:59,무료,0,0,0,0,0,0,0.0,,,용인시 동부동,031-324-5981,37.2327702908,127.2191740405,2021-10-26
30,228-3-000039,구갈동,공영,부설,,경기도 용인시 기흥구 구갈동 620,59,1,미시행,평일,06:00,22:00,23:59,23:59,23:59,23:59,무료,0,0,0,0,0,0,0.0,,,용인시 구갈동,031-324-6633,37.2728506853,127.1274238612,2021-10-26
31,228-3-000043,마북동,공영,부설,경기도 용인시 기흥구 구교동로118번길 16,경기도 용인시 기흥구 마북동 162-1,80,1,미시행,평일+토요일+공휴일,23:59,23:59,23:59,23:59,23:59,23:59,무료,0,0,0,0,0,0,0.0,,지하: 평일(06:00~22:00) 운영,용인시 마북동,031-324-6721,37.3015796967,127.1174469653,2021-10-26
32,228-3-000044,동백동,공영,부설,경기도 용인시 기흥구 동백중앙로 214,경기도 용인시 기흥구 중동 866-1,85,1,미시행,평일+토요일+공휴일,23:59,23:59,23:59,23:59,23:59,23:59,무료,0,0,0,0,0,0,0.0,,지하: 평일(06:00~22:00) 운영,용인시 동백동,031-324-6755,37.272532574,127.1516872678,2021-10-26
33,228-3-000050,죽전1동,공영,부설,경기도 용인시 수지구 대지로15번길 50,경기도 용인시 수지구 죽전동 1070-9,52,1,미시행,평일+토요일+공휴일,23:59,23:59,23:59,23:59,23:59,23:59,무료,0,0,0,0,0,0,0.0,,,용인시 죽전1동,031-324-8664,37.3310501161,127.1139969463,2021-10-26
34,228-1-000019,기흥노상,공영,노상,경기도 용인시 기흥구 신갈로58번길,,103,1,미시행,평일,09:00,19:00,23:59,23:59,23:59,23:59,유료,30,900,10,300,24,9000,80000.0,현금 + 신용카드,최초 10분 이후 30분까지 900원,용인시  용인도시공사(위탁),031-338-6581,37.27216596,127.1069324,2021-10-26
35,228-1-000021,누리에뜰 노상,공영,노상,,경기도 용인시 기흥구 보정동 1808,79,1,미시행,평일,10:00,20:00,23:59,23:59,23:59,23:59,유료,30,900,10,300,24,9000,80000.0,현금 + 신용카드,"일요일, 구정2일, 추석2일 휴무",용인시  용인도시공사(위탁),031-338-6581,37.32186049,127.1104986,2021-10-26
36,228-1-000022,수지 노상,공영,노상,,경기도 용인시 수지구 풍덕천동 789,92,1,미시행,평일,09:00,19:00,23:59,23:59,23:59,23:59,유료,30,900,10,300,24,9000,80000.0,현금 + 신용카드,최초 10분 이후 30분까지 900원,용인시  용인도시공사(위탁),031-338-6581,37.3251759727,127.0992335526,2021-10-26
37,228-2-000018,풍덕천공영,공영,노외,경기도 용인시 수지구 풍덕천로171번길 9-2,경기도 용인시 수지구 풍덕천동 1199,250,1,미시행,평일,09:00,19:00,23:59,23:59,23:59,23:59,유료,30,600,10,300,24,9000,80000.0,신용카드(무인),최초 10분 이후 30분까지 600원,용인시  용인도시공사(위탁),031-338-6581,37.3270833246,127.0997293666,2021-10-26
38,228-2-000008,중앙노외,공영,노외,경기도 용인시 처인구 금령로90번길 3-18,경기도 용인시 처인구 김량장동 89,136,1,미시행,평일,09:00,21:00,23:59,23:59,23:59,23:59,유료,30,600,10,300,24,9000,80000.0,현금+신용카드,최초 10분 이후 30분까지 600원,용인시  용인도시공사(위탁)/일부 월정기 구역(도시공사),031-338-6581,37.2350685828,127.2072649301,2021-10-26
39,228-2-000009,금학공영,공영,노외,경기도 용인시 처인구 용문로 140,경기도 용인시 처인구 김량장동 324-8,132,1,미시행,평일,09:00,19:00,23:59,23:59,23:59,23:59,유료,30,600,10,300,24,9000,80000.0,현금+신용카드+하이패스,최초 10분 이후 30분까지 600원,용인시  용인도시공사(위탁),031-338-6581,37.2361304697,127.201254031,2021-10-26
40,228-2-000010,중앙공영,공영,노외,경기도 용인시 처인구 백옥대로 1103,경기도 용인시 처인구 김량장동 80-2,328,1,미시행,평일,09:00,19:00,23:59,23:59,23:59,23:59,유료,30,600,10,300,24,9000,80000.0,신용카드(무인),최초 10분 이후 30분까지 600원,용인시  용인도시공사(위탁),031-338-6581,37.234093316,127.2084830422,2021-10-26
41,228-2-000013,보정공영,공영,노외,,경기도 용인시 기흥구 보정동 1180,59,1,미시행,평일,10:00,19:00,23:59,23:59,23:59,23:59,유료,30,600,10,300,24,9000,80000.0,현금+신용카드,최초 10분 이후 30분까지 600원,용인시  용인도시공사(위탁),031-338-6581,37.3234073773,127.1105838578,2021-10-26
42,228-2-000014,상갈공영,공영,노외,경기도 용인시 기흥구 금화로105번길 3,경기도 용인시 기흥구 상갈동 475,188,1,미시행,평일,09:00,19:00,23:59,23:59,23:59,23:59,유료,30,600,10,300,24,9000,50000.0,신용카드+하이패스,최초 10분 이후 30분까지 600원,용인시  용인도시공사(위탁),031-338-6581,37.2658493257,127.1067390203,2021-10-26
43,228-2-000016,신갈 제1공영,공영,노외,경기도 용인시 기흥구 갈천로7번길 69,경기도 용인시 기흥구 신갈동 69-11,117,1,미시행,평일,09:00,19:00,23:59,23:59,23:59,23:59,유료,30,600,10,300,24,9000,80000.0,현금+신용카드+하이패스,최초 10분 이후 30분까지 600원 / 무인정산,용인시  용인도시공사(위탁),031-338-6581,37.2708642009,127.1068933454,2021-10-26
44,228-2-000017,신갈 제2공영,공영,노외,,경기도 용인시 기흥구 신갈동 473-1,140,1,미시행,평일,09:00,19:00,23:59,23:59,23:59,23:59,유료,30,600,10,300,24,9000,80000.0,현금+신용카드+하이패스,최초 10분 이후 30분까지 600원 / 무인정산,용인시  용인도시공사(위탁),031-338-6581,37.2706622301,127.1043196162,2021-10-26
45,228-2-000011,전통시장 제1공영,공영,노외,경기도 용인시 처인구 금령로71번길 12-29,경기도 용인시 처인구 김량장동 254-3,94,1,미시행,평일+토요일+공휴일,09:00,21:00,09:00,21:00,09:00,21:00,유료,30,600,10,300,24,9000,80000.0,현금+신용카드,최초 10분 이후 30분까지 600원,용인시  일자리정책과,031-324-3841,37.2366327909,127.205250623,2021-10-26
46,228-2-000012,전통시장 제2공영,공영,노외,경기도 용인시 처인구 금령로107번길 13,경기도 용인시 처인구 김량장동 137-1,97,1,미시행,평일+토요일+공휴일,09:00,21:00,09:00,21:00,09:00,21:00,유료,30,600,10,300,24,9000,80000.0,현금+신용카드,최초 10분 이후 30분까지 600원,용인시  일자리정책과,031-324-3841,37.2367144723,127.2078584925,2021-10-26
47,228-3-000053,상현2동(상현공영),공영,부설,,경기도 용인시 수지구 상현동 57-1,158,1,미시행,평일,09:00,18:00,23:59,23:59,23:59,23:59,유료,30,600,15,300,24,8000,80000.0,현금+신용카드+하이패스,최초 60분 이후 30분까지 600원,용인시  용인도시공사(위탁),031-324-8757,37.3118620375,127.0871219177,2021-10-26
48,228-3-000001,처인구청,공영,부설,경기도 용인시 처인구 금령로 50,경기도 용인시 처인구 김량장동 286,113,1,미시행,평일,09:00,19:00,23:59,23:59,23:59,23:59,유료,30,600,15,300,24,8000,80000.0,신용카드(무인),최초 60분 이후 30분까지 600원,용인시  용인도시공사(위탁),031-338-6581,37.2343799583,127.2013371645,2021-10-26
49,228-3-000002,기흥구청,공영,부설,경기도 용인시 기흥구 관곡로 95,경기도 용인시 기흥구 구갈동 355,238,1,미시행,평일,09:00,18:00,23:59,23:59,23:59,23:59,유료,30,600,15,300,24,8000,80000.0,현금+신용카드+하이패스,최초 60분 이후 30분까지 600원,용인시  용인도시공사(위탁),031-338-6581,37.2804471236,127.1146890443,2021-10-26
50,228-3-000003,수지구청,공영,부설,경기도 용인시 수지구 포은대로 435,경기도 용인시 수지구 풍덕천동 720,568,1,미시행,평일,09:00,18:00,23:59,23:59,23:59,23:59,유료,30,600,15,300,24,8000,80000.0,현금+신용카드+하이패스,최초 60분 이후 30분까지 600원,용인시  용인도시공사(위탁),031-338-6581,37.3222219027,127.0974474224,2021-10-26
51,228-3-000004,중앙동,공영,부설,경기도 용인시 처인구 금령로78번길 7,경기도 용인시 처인구 김량장동 303-3,79,1,미시행,평일,09:00,19:00,23:59,23:59,23:59,23:59,유료,30,600,15,300,24,8000,80000.0,현금+신용카드,최초 60분 이후 30분까지 600원,용인시  용인도시공사(위탁),031-338-6581,37.2342357411,127.2056660406,2021-10-26
52,228-3-000005,구성동,공영,부설,경기도 용인시 기흥구 구성로77번길 17,경기도 용인시 기흥구 언남동 342-1,96,1,미시행,평일,09:00,18:00,23:59,23:59,23:59,23:59,유료,30,600,15,300,24,8000,80000.0,현금+신용카드,최초 60분 이후 30분까지 600원,용인시  용인도시공사(위탁),031-338-6581,37.2967640172,127.1189814686,2021-10-26
53,228-3-000006,수지아르피아(죽전2동),공영,부설,,경기도 용인시 수지구 죽전동 1003-586,483,1,미시행,평일,09:00,18:00,23:59,23:59,23:59,23:59,유료,30,600,15,300,24,8000,80000.0,현금+신용카드+하이패스,최초 60분 이후 30분까지 600원,용인시  용인도시공사(위탁),031-338-6581,37.32613651,127.1059081,2021-10-26
54,228-3-000007,여성회관,공영,부설,경기도 용인시 수지구 문정로7번길 15,경기도 용인시 수지구 풍덕천동 1086,443,1,미시행,평일,09:00,18:00,23:59,23:59,23:59,23:59,유료,30,600,10,300,24,9000,80000.0,현금+신용카드,"최초 30분 이후 2시간까지 1,000원",용인시  용인도시공사(위탁),031-338-6581,37.3205247736,127.0954989716,2021-10-26
55,228-3-000025,행정타운,공영,부설,경기도 용인시 처인구 중부대로 1199,경기도 용인시 처인구 삼가동 556,1118,1,미시행,평일,09:00,18:00,23:59,23:59,23:59,23:59,유료,30,600,15,300,24,8000,80000.0,현금+신용카드,최초 60분 이후 30분까지 600원,용인시  용인도시공사(위탁),031-324-3104,37.240867332,127.1779683677,2021-10-26
56,228-3-000038,신갈동(기흥구보건소),공영,부설,경기도 용인시 기흥구 신갈로58번길 11,경기도 용인시 기흥구 신갈동 60-3,117,1,미시행,평일,09:00,18:00,23:59,23:59,23:59,23:59,유료,30,600,15,300,24,8000,80000.0,신용카드(무인),최초 60분 이후 30분까지 600원,용인시  용인도시공사(위탁),031-324-6602,37.2726060256,127.1067678384,2021-10-26
57,228-3-000046,보정동,공영,부설,경기도 용인시 기흥구 죽전로 40,경기도 용인시 기흥구 보정동 1264,92,1,미시행,평일,09:00,18:00,23:59,23:59,23:59,23:59,유료,30,600,15,300,24,8000,80000.0,현금+신용카드,최초 60분 이후 30분까지 600원,용인시  용인도시공사(위탁),031-324-6771,37.3201885889,127.1130927621,2021-10-26
